"Type de carrosserie";"2010  (%)";"2011  (%)";"2012  (%)";"2013  (%)";"2014  (%)";"2015  (%)";"2016  (%)";"2017  (%)";"2018  (%)";"2019  (%)"
BERLINE;61,20;57,61;56,07;56,40;52,74;51,08;51,09;49,01;49,69;49,43
"TS TERRAINS/CHEMINS";9,53;13,29;15,72;18,60;23,15;25,80;27,86;32,37;36,26;38,29
"MONOSPACE COMPACT";10,40;10,80;10,71;9,98;9,30;8,54;7,83;6,96;5,11;3,84
BREAK;6,80;6,97;6,65;5,68;6,66;7,04;6,18;5,53;4,38;4,18
MINISPACE;5,00;4,78;4,13;3,82;3,17;2,63;2,00;1,26;0,40;0,15
COMBISPACE;3,00;2,64;2,37;2,30;2,13;2,07;1,93;2,02;1,91;2,00
COUPE;1,90;1,66;1,38;1,02;0,96;0,81;0,67;0,54;0,39;0,46
CABRIOLET;1,30;1,29;1,13;0,85;0,66;0,49;0,64;0,64;0,52;0,51
MONOSPACE;0,80;0,94;0,97;0,69;0,60;0,79;1,04;0,75;0,50;0,44
MINIBUS;;0,75;0,87;0,66;0,64;0,75;0,76;0,92;0,84;0,69
