query	searched site	rank	thumbnail url	url which contains image
berline		1	http://t1.gstatic.com/images?q=tbn:ANd9GcTOinJM3ky8WAy9e4U1IyNbCO9KC1radVJMlkQdnA8UJ5nIB2K67ru555o	https://autofans.be/nieuws/officieel/39829-officieel-mercedes-klasse-berline-2018
berline		2	http://t2.gstatic.com/images?q=tbn:ANd9GcQAi45vmEiKAWrc-wd8h0muLYLDGZYvYr49LCKesh-vrM-EMsVC4kSvO-c	https://gocar.be/nl/autonieuws/auto-test/mercedes-a-klasse-berline-welkom-nieuwe-klanten
berline		3	http://t3.gstatic.com/images?q=tbn:ANd9GcQiehQ9B5tzayi2xA0a0L5UMEvTkDNjINmwe85IwM6h2Jkj7tLvoWHCdw8	https://autotijd.be/archief/1988/mercedes-onthult-nieuwe-a-klasse-berline
berline		4	http://t0.gstatic.com/images?q=tbn:ANd9GcQh5p3KrSCG-LbWqurmDOaPS5eCq4rAcgStV36nayxdQA99C5vQfeFfcHrW	https://www.groenlicht.be/2018/09/04/belgische-vanafprijs-mercedes-a-klasse-berline-2018-vanaf-30190-euro/
berline		5	http://t1.gstatic.com/images?q=tbn:ANd9GcRy9tufGotWwHtetcgKPG-jcw2MYHjxxbkCjHib8ykZ9p4Yd-jxB-MvbbFA	https://www.autogids.be/autonieuws/nieuwe-modellen/mercedes-a35-4matic.html
berline		6	http://t2.gstatic.com/images?q=tbn:ANd9GcQ8kSzWxHbmz4uMdTfpFQ2nw84ePMztkVTQI_mGYFrGmHI-dfMSZ30U6Os	https://autofans.be/nieuws/officieel/39829-officieel-mercedes-klasse-berline-2018
berline		7	http://t3.gstatic.com/images?q=tbn:ANd9GcQzQ0zP3hh34ecy8CGUlW7MeIL4I-RFcwaMJLG4IeATosdK1j3R06vUezy9	https://autotijd.be/archief/2169/mercedes-amg-a-35-4matic-berline-officieel-voorgesteld
berline		8	http://t0.gstatic.com/images?q=tbn:ANd9GcTAa6QvMdMwwBfS0Mk3A0vq4IoYUE5W6ChDoRcvVeyTgmN9OI7V_2Qa3zk	https://www.autowereld.be/autonieuws/nieuwe-modellen/fotos--mercedes-a35-4matic_5c9b2fc88e3a4.html
berline		9	http://t1.gstatic.com/images?q=tbn:ANd9GcQN7zChYKtMByzo5qaVC4_Nu_LDmayHAXthh3HB0kEPnSngNZr09MCQl44	https://www.autogids.be/autotests/korte-tests/mercedes-a-180-d-berline-2019.html
berline		10	http://t2.gstatic.com/images?q=tbn:ANd9GcRmyiqvkrWk2aRNIleHk_TkReXyet9HGAw5xPRKuclYCzKTpLv2ObbqhbhF	https://www.viabovag.nl/auto/peugeot-508-berline-130-pk-blue-lease-active--ae91cl8
berline		11	http://t3.gstatic.com/images?q=tbn:ANd9GcSOBO4wShnH8a9gOy6paxFqxNgsuR6sQd6ZqBlLt6Hv3u0dlMuyCC4ElZpH	https://www.autowereld.nl/peugeot/508/berline-1-5-130pk-automaat-blue-lease-gt-line-financieren-al-vanaf-2-9-29512190/details.html
berline		12	http://t0.gstatic.com/images?q=tbn:ANd9GcRwYOKG1v18ftjAVzwYkvqme4-1Vd776Vg_lCY4zUjZhIjTy3gyPREG5xSl	https://www.peugeot.nl/showroom/508/berline/
berline		13	http://t1.gstatic.com/images?q=tbn:ANd9GcTQCXz5GXIE36JqhM30V3EBE4LD_Djim-ddLbxbT4if0cNkfdnnwQc5c68	https://www.eurostar2000.be/MB/EurostarNewsitem.php?id=2723
berline		14	http://t2.gstatic.com/images?q=tbn:ANd9GcT-Qa_uK2hdwMUc9JcD12LePvyQE91lJANtFCumT3LqoQAd3JIyO8O7xJs	https://www.groenlicht.be/2019/03/29/officieel-mercedes-amg-a35-berline-2019/
berline		15	http://t3.gstatic.com/images?q=tbn:ANd9GcRhve1Ut1cNMq0JdfsPa9zscJxr8GaWxJYAppMtQCi2dMi4hqzeilte_WjG	https://www.viabovag.nl/auto/peugeot-508-berline-16-225-pk-automaat-first-edition-w1o1gi1
berline		16	http://t0.gstatic.com/images?q=tbn:ANd9GcSwwU_Qbz0RiDGqlIf13rmKOsoEr9glqVhpRD9zUpxqa6Ubj1AxtNQ6Cmqt	https://www.youtube.com/watch?v=loR9gWi0WO4
berline		17	http://t1.gstatic.com/images?q=tbn:ANd9GcSbCSJNLHhZ72BGZE1Cwx_SrTwebA4ha2dJQCWAw6DhBOtgmG4jNPqjpW-Z	https://www.peugeot.nl/showroom/308/berline/
berline		18	http://t2.gstatic.com/images?q=tbn:ANd9GcR5U1cviZi9h_OEvDBNDCYPqIE6bH9AWo6XX5bZyOvtrQXhAilw2OTdWRnJ	https://www.broekhuis.nl/auto/peugeot-508-berline-16-180pk-eat8-gt-line-2019/243346162/
berline		19	http://t3.gstatic.com/images?q=tbn:ANd9GcT0uWHNpfLlJvVFfDTmhV0pIrIxjyktUEA8hGQVQda6e5Z-oGyPD2j1kHxs	https://www.automobile-magazine.fr/toute-l-actualite/article/24262-mercedes-classe-a-berline-le-retour-du-tricorps
