query	searched site	rank	thumbnail url	url which contains image
cabriolet		1	http://t1.gstatic.com/images?q=tbn:ANd9GcRIVbUuvte49aEJpWRP9XA3axUK1AEPQunHT4S4DUnhw_EQuHi_WOotDPs	https://topgear.nl/autonieuws/volkswagen-t-roc-cabriolet-2019/
cabriolet		2	http://t2.gstatic.com/images?q=tbn:ANd9GcREtmUlXV7L3Pkrhm80_fbFVEAemxu6nmY93L1T8_hXgRmg7SaLYv34Y65m	https://www.autoscout24.be/nl/auto/carrosserie/cabrio/
cabriolet		3	http://t3.gstatic.com/images?q=tbn:ANd9GcRb_HWMaHKjkZ6ILlD3CBitWNGJNkh8JT0oFVKtojnj-LjX-6zlZaOA5sc	https://www.autowereld.com/nieuws/autonieuws/id/28119/zie-jij-jezelf-al-rijden-met-de-volkswagen-t-roc-cabriolet
cabriolet		4	http://t0.gstatic.com/images?q=tbn:ANd9GcSESeO01ZArNrIblEaQwX_mOtrKKj2uHeK0pJKdB7ABWGFyDp7DhHaqzRs	https://www.motor1.com/news/386062/volkswagen-t-roc-cabriolet-production/
cabriolet		5	http://t1.gstatic.com/images?q=tbn:ANd9GcRUYz4liEyrJTWQxQlEQ9aznrk-dqnmyQror1WURzuzPKRhd_W4sSvixcM	https://www.mbusa.com/en/vehicles/model/e-class/cabriolet/e53a4
cabriolet		6	http://t2.gstatic.com/images?q=tbn:ANd9GcS3_zPIQGLbyryASpyUcTjkWV1i_LDERdkHZwRVIgNrLWYr6SRv1g1FOGI	https://www.autowereld.com/nieuws/autonieuws/id/27128/nu-officieel-de-bmw-8-serie-cabriolet
cabriolet		7	http://t3.gstatic.com/images?q=tbn:ANd9GcQauWfA13M3m1WtrfVP92KVTr0z6XWP6HIu_NiKKpFGKUPQ-ojFglcGfNpf	https://www.eencabriokopen.nl/nl/goedkope-cabriolet-dit-de-beste-keuze
cabriolet		8	http://t0.gstatic.com/images?q=tbn:ANd9GcRdxdAyzuqHJnknRnQx_S1oJkd_5beX019wcJ1Qmyo7WHCHU8KtXQ2YHPYp	https://www.autoblog.nl/nieuws/smikkel-en-smul-van-de-sciadipersia-cabriolet-121349
cabriolet		9	http://t1.gstatic.com/images?q=tbn:ANd9GcQyyd6FubP5theHHjEyGRT9rFVa1jjdzHqrdaAJ963r3CVZ3bNFYLYLJYUr	https://autobahn.eu/artikel/15190/rijtest-bmw-430i-cabriolet-want-wij-hebben-het-ook-warm
cabriolet		10	http://t2.gstatic.com/images?q=tbn:ANd9GcSQuLtg2x3jE00DOHzPrgpoFOK4I-ZgOoG8Tq9ycEGaxcSUd7MGxxiHx9FJ	https://www.autoblog.nl/nieuws/smikkel-en-smul-van-de-sciadipersia-cabriolet-121349
cabriolet		11	http://t3.gstatic.com/images?q=tbn:ANd9GcSfZ1UvGjhxbEehc1XYZmIrz42bq0zorjKA2nMidZL0SloYtHstWw0GcF8	https://www.driveboo.nl/autohuur-Cabrio-144100.html
cabriolet		12	http://t0.gstatic.com/images?q=tbn:ANd9GcQudoIbja2Mn9PCocLwnKEC03Jl9RErZNnL105NA2_T_fzRLpXHcCNJ5XQ	https://www.mercedes-benz.nl/passengercars/mercedes-benz-cars/models/e-class/cabriolet-a238/explore.html
cabriolet		13	http://t1.gstatic.com/images?q=tbn:ANd9GcQ8ekoLW4jhc7tvWgzwO4hwkqtfUR-hDJkjxHsyoiRvXLbh3c8eFzWhp5iF	https://www.autohoogenboom.nl/volkswagen/model/volkswagen-t-roc-cabriolet
cabriolet		14	http://t2.gstatic.com/images?q=tbn:ANd9GcS7-EPr-QPhuon0IJlSswcuFbsQWiRGJ26Opl8Edj64VCWGEQe9koJElZu-	https://www.caranddriver.com/reviews/a31381909/2020-porsche-911-carrera-s-cabriolet-convertible-by-the-numbers/
cabriolet		15	http://t3.gstatic.com/images?q=tbn:ANd9GcQf6TSqOocD-WyojYtREOwvTQ9XH-FNjOG6zkdDiybvsuo1EAXuLeWrUUHt	https://www.autokopen.nl/autonieuws/2018/maart/44573-mercedes-benz-c-klasse-coupe-en-cabriolet-nu-aan-de-beurt-voor-facelift
cabriolet		16	http://t0.gstatic.com/images?q=tbn:ANd9GcTDOKCFn6jBCU4aSCDki971akN3zLjXDKYinTzqJrukPwzo3oLnvBjBllu4	https://www.motor1.com/reviews/346718/2019-mercedes-amg-e53-cabriolet-review/
cabriolet		17	http://t1.gstatic.com/images?q=tbn:ANd9GcQTbEBmvbsawapUeNmRAP5iCP0yU-LFKwaSA9hSJuFcZrTUWFrRR7j8b5VP	https://www.marktplaats.nl/a/auto-s/audi/m1508184710-audi-80-cabrio-cabriolet-2-0-85kw-e2-1993-blauw-nieuw-dak.html
cabriolet		18	http://t2.gstatic.com/images?q=tbn:ANd9GcSeIj6bKXn3RlhJ_RU6ishyvqCy61W7sp2FX877_aoBLk5NZoyWrqYRwaI	https://www.mercedes-benz.nl/passengercars/mercedes-benz-cars/models/s-class/cabriolet-a217/design.pi.html/mercedes-benz-cars/models/s-class/cabriolet-a217/design/designo/designo-finsihing
cabriolet		19	http://t3.gstatic.com/images?q=tbn:ANd9GcS2WtvRJ5SliUZq4uhcsmj9KBSN4pfjM2Lk823YGih_gb21zAvXzRVuBK4v	https://www.motoringresearch.com/car-reviews/2019-porsche-911-cabriolet-review/
cabriolet		20	http://t0.gstatic.com/images?q=tbn:ANd9GcTI9acQy2uAPjiYTmydZj6ZmXX9VNABmS1ON-Rqp_hcO-WbSYe38j-aFXs	https://www.reezocar.com/en/search/peugeot-504+cabriolet.html
cabriolet		21	http://t1.gstatic.com/images?q=tbn:ANd9GcTPC9lGZB3D42VXTGbwpX0I2xMIL9rgu-aoiCBHVlECXOzjdZIeXNEycfg	https://en.wikipedia.org/wiki/Cabriolet_(carriage)
cabriolet		22	http://t2.gstatic.com/images?q=tbn:ANd9GcSJvXCHa64GDzNJtZfTJRl1hpeBr3-WUEF_xkUWYmMR82CRX2Alrs-0HrkQ	https://auto.ndtv.com/news/2019-mercedes-benz-c-class-cabriolet-facelift-to-launch-in-india-this-year-1871128
cabriolet		23	http://t3.gstatic.com/images?q=tbn:ANd9GcS7tHIjt-I4ekys1ziCNFekEotUpFFwJnZqvJCiLXddUg2KDkCZYYLRjhkU	https://www.autowereld.com/merk-model-dossier/mercedes-benz/e-klasse-cabriolet
cabriolet		24	http://t0.gstatic.com/images?q=tbn:ANd9GcTRBEzn5KEkg2uKIlqa-0zqZZG-LXZnYemErcnIQWLKzujRZc2iWeXY1Jw	https://www.marktplaats.nl/a/auto-s/volkswagen/m1457394083-volkswagen-golf-1-8-cabriolet-72kw-u9-1992-blauw.html
cabriolet		25	http://t1.gstatic.com/images?q=tbn:ANd9GcTIRpkbqfTB4IWge2wZ2tfbFA2rdZ2AjDQuhxBi7PRYHaHkFC27wlFuYfk	https://www.forbes.com/sites/nargessbanks/2018/07/10/testing-the-the-a3-cabriolet-audis-compact-convertible/
cabriolet		26	http://t2.gstatic.com/images?q=tbn:ANd9GcREdhbFr0o6QUHkgqtSVoFn1Yo7vP0Xy5mE_lBhBIr_O2MABNLNAPPDMsRj	https://www.autokopen.nl/autonieuws/2019/januari/46005-porsche-911-cabriolet-nu-ook-in-het-nieuw
cabriolet		27	http://t3.gstatic.com/images?q=tbn:ANd9GcR3XCxr5q0A_WcanHoQp35Qef1tMdgBgWWKMN7moUr_zkCqazojyL16WaeQ	https://www.catawiki.nl/l/34425365-mercedes-benz-560sl-roadster-cabriolet-no-reserve-1987
cabriolet		28	http://t0.gstatic.com/images?q=tbn:ANd9GcQaMc2r0LwaZ5-DMwEclO2bILf_I6VKnf5iTBVNdiO1yTAvNTrVIrrQ2AMZ	https://www.mbusa.com/en/vehicles/class/e-class/cabriolet
cabriolet		29	http://t1.gstatic.com/images?q=tbn:ANd9GcQr8t-Z_A0TlDtDnyvkc4ofHjY4giXCt2Q2lQL6wwtNTskn7TvMPiPY-Go-	https://www.pouw.nl/audi/modellen/a3-cabriolet
cabriolet		30	http://t2.gstatic.com/images?q=tbn:ANd9GcQ4WEPz0JQTDVN7zEe9FAOdkkJ4HblEkPhM6lk0TDWYCPV-OYyXcXwUoqkb	https://www.chocoladechef.nl/chocolade-auto-cabriolet-25-x-11-x-8-cm.html
cabriolet		31	http://t3.gstatic.com/images?q=tbn:ANd9GcRn8DrEKMQuLazFIHYyksprow8rw9f2QR5i0ZwEAL3NMWlQHpRvpi915Pfo	https://www.cnet.com/roadshow/news/audi-a3-cabriolet-gone-after-2019-report/
cabriolet		32	http://t0.gstatic.com/images?q=tbn:ANd9GcT9xLpIsFTsI7fdpu7h6Z72CuvsR60Mo0vgnacUIgC6nPxqnsys-e3fCmc	https://www.catawiki.nl/l/28402217-peugeot-204-cabriolet-1967
cabriolet		33	http://t1.gstatic.com/images?q=tbn:ANd9GcTuCUBiVoToH7IlIBoEETcR3656DYZmA5f1HD_rZcU-e9AqIKeXG2KlUXs	https://inleaseautos.nl/lease-voorraad/personenauto/audi/s3/cabriolet-benzine-automaat-g630xx-cabriolet-2-0-tfsi-quattro-cabriolet-keyless-bo/
cabriolet		34	http://t2.gstatic.com/images?q=tbn:ANd9GcTJnEWs3GjKoJ2ap0VLW1pRfp1awC9dv4l2LFbO0mE8ByWwNREvtYiUAro	https://www.bol.com/nl/p/barbie-cabriolet-met-barbiepop/9200000086256416/
cabriolet		35	http://t3.gstatic.com/images?q=tbn:ANd9GcTVgRpeZ8rZ7NhZ7qONrTj0KeFqvQAx5jrbOX12iOSnL6rNba7d5pqOnxxu	https://www.mercedes-amg.com/en/vehicles/e-class/cabriolet.html
cabriolet		36	http://t0.gstatic.com/images?q=tbn:ANd9GcTNDvFl_sQG7yjib0P2q9on1nqlaB5FZrMmhD5ZkVCvYhr9EJ9ABzs6LyCu	https://www.sunnytoday.nl/categorie/cadeaus/bruiloft-cabriolet-
cabriolet		37	http://t1.gstatic.com/images?q=tbn:ANd9GcSIrtml0pF1pvWN8_rLi6KEwNKN54VbtHPfyxknTWBvgd27I2IuJldCjnwb	https://bringatrailer.com/listing/1991-volkswagen-cabriolet/
cabriolet		38	http://t2.gstatic.com/images?q=tbn:ANd9GcSAYTrL4-C0A4pfOXJOh1PfHfkGN-YlPfXTH2eA9rRBoe43M27Onz43gYK2	https://www.autoweek.nl/autotests/artikel/audi-cabriolet-26-1999/
cabriolet		39	http://t3.gstatic.com/images?q=tbn:ANd9GcRJA3vk92Ko7bxFoWUcvhRHnm-rL-ozNRy6H_oE8aDGqGnSraJZiy0OMsQ	https://www.sternauto.nl/2485321/C-Klasse-Cabriolet.html
cabriolet		40	http://t0.gstatic.com/images?q=tbn:ANd9GcTSspSFuQ60RCcIKrRRlTjZGToIIG7r_bQT_o0nESeb0x4RuT74ilnOIMbR	https://www.luxuryandexpensive.com/ferrari-california-43-22-cabriolet-auto-convertible-bianco-avus-automatic-petrol.html
cabriolet		41	http://t1.gstatic.com/images?q=tbn:ANd9GcTinVKLWJ3fhTEQNJTkDIlBKM3vj-HxJ0RbyQ_HmnfSP2BGxDqcvTMSQjpM	https://topgear.nl/autonieuws/volkswagen-t-roc-cabriolet-2019/
cabriolet		42	http://t2.gstatic.com/images?q=tbn:ANd9GcSAYTrL4-C0A4pfOXJOh1PfHfkGN-YlPfXTH2eA9rRBoe43M27Onz43gYK2	https://www.autoweek.nl/autotests/artikel/audi-cabriolet-26-1999/
cabriolet		43	http://t3.gstatic.com/images?q=tbn:ANd9GcTbaXQnwh6g2vK_dMFM6wuaPYTNYHAS5JpVyxT4BxFkpFoWUBusoSoFBaI	https://www.tradus.com/en/construction/other-machinery/mercedes-benz/mercedes-benz-sl-190-cabriolet-cabriolet-1959-3998673
cabriolet		44	http://t0.gstatic.com/images?q=tbn:ANd9GcRwHLrEUCl13HCfnMNIWQK9-WRirguL1jQsP65RM5cCQLl-uDw3BMQzUyk	https://hostelworld.musement.com/us/turin/vintage-cabriolet-experience-to-discover-piedmont-50388/
cabriolet		45	http://t1.gstatic.com/images?q=tbn:ANd9GcTqQoZ4sVHjZu9DqS68ND8MPkXu7ObmW1WNi3pWgX1rw9lhPiRziaFkw9w	https://www.motortrend.com/cars/mercedes-benz/slc-class/2017/2017-mercedes-benz-s-class-cabriolet-first-drive-review/
cabriolet		46	http://t2.gstatic.com/images?q=tbn:ANd9GcR2KfH3UlfE5_rU1gjnamGKKWxKBr-gvIrZbDwYLdL9VkH-B0iwkLZOlSoF	https://www.bol.com/nl/p/mercedes-benz-280-se-cabriolet-1969-1-18-norev/9200000106701408/
cabriolet		47	http://t3.gstatic.com/images?q=tbn:ANd9GcTc16jSCXJdJDupgCZCaZUSJCYKZuGDW9OB0IHrzpjFjQmmUgvd9wYB908P	https://inleaseautos.nl/lease-voorraad/personenauto/audi/a3/cabriolet-benzine-automaat-xz387r-cabriolet-35tfsi-150pk-s-tronic-automaat-s-line-edition-audi-e/
cabriolet		48	http://t0.gstatic.com/images?q=tbn:ANd9GcTddcmAzoYVG1GO5FAtGc1Ol4TVMTozIb1znmC26nZD7bW9QDcuyVdxre74	https://www.marktplaats.nl/a/auto-s/volkswagen/m1506597695-volkswagen-golf-3-1e-1997-groen-cabrio-cabriolet.html
cabriolet		49	http://t1.gstatic.com/images?q=tbn:ANd9GcTyF1zxljxQL1IRjELi9s7uOaGJYgghAeO8V8dOkOtCFzznuZMeg_dycd93	https://www.pouw.nl/audi/modellen/a3-cabriolet
