query	searched site	rank	thumbnail url	url which contains image
combispace		1	http://t1.gstatic.com/images?q=tbn:ANd9GcTMZ1aoRzfKuN_sPcOaSRuma0TJENHoH30LEMDbU7vs1e8WhUauqRfr89Q	https://www.moniteurautomobile.be/actu-auto/nouveaux-modeles/photos--peugeot-traveller-combispace-navette-vip.html
combispace		2	http://t2.gstatic.com/images?q=tbn:ANd9GcQK5QibOAndswMaPL0C0Xpy_ZnL2fHrdIZUveeXneeGLaLOqE5buSAun4Y	https://www.auto-ici.fr/blog/peugeot-traveller-le-combispace-pour-familles-nombreuses/
combispace		3	http://t3.gstatic.com/images?q=tbn:ANd9GcSbGNWOg08ANQjEt-bTzDrK5oB5Yl4z1A5dO22Eax8FWKkVP8XW10i96CMl	https://www.easybedcar.fr/
combispace		4	http://t0.gstatic.com/images?q=tbn:ANd9GcS1xDwYfWeNETxZ18IGYF_bvpeyXGYf62wMHPuBoSwSdK-AJFrbUYojUf-V	https://www.peugeot.fr/gamme/decouvrez-nos-vehicules/traveller/configurez/finitions.html
combispace		5	http://t1.gstatic.com/images?q=tbn:ANd9GcREqVBUG8EF2gjuMM0NTF2lfUEEaVpD-ZAa85kdIZufmleD7KmxxRCJmLPi	https://www.moniteurautomobile.be/actu-auto/nouveaux-modeles/photos--peugeot-traveller-combispace-navette-vip.html
combispace		6	http://t2.gstatic.com/images?q=tbn:ANd9GcSns0pOG79Qn_tH0LyVyHpn2HVgQaZgTsziHaiQIxY0peaw7XWEUb4TRgQ	https://www.caroom.fr/guide/voiture-neuve/ludospace
combispace		7	http://t3.gstatic.com/images?q=tbn:ANd9GcSBEr2BGTtLWyzfGuiOVLCmgnr9egHYG1yDSc7binS19qIA8_fOYYZU7kc	https://www.auto-moto.com/pratique/choisir/voiture-familiale-modeles-7-9-places-63255.html
combispace		8	http://t0.gstatic.com/images?q=tbn:ANd9GcTTsEwbNWKjKis2zLVqFIkPmD5zpkCNvj57yKeoW2xKW3aF-u2e6GuTq_c	https://www.youtube.com/watch?v=17Pe7epFmKo
combispace		9	http://t1.gstatic.com/images?q=tbn:ANd9GcQ4R_4iqKy5Ho2lG_mjTc-qVIZ1B3RBy0MxHPx4R9I3DLWAPbH_sJr3E4I	http://autoboost.fr/image/dacia-dokker-combispace-12615
combispace		10	http://t2.gstatic.com/images?q=tbn:ANd9GcQwFQjrlL41J_OLrYD2iPDB76jgFvgxojVzsSM9N8XnaUSqPK4wNe0bPw	https://www.paruvendu.fr/cote-auto-gratuite/peugeot-partner/1-4i-combispace-1999-5-cv-essence/1052221/
