query	searched site	rank	thumbnail url	url which contains image
coupé		1	http://t1.gstatic.com/images?q=tbn:ANd9GcSwREGCEycMM69LH4RTBn22frTjI9tqTH2Dbimdghwwnf1X1yoN2lEPIrk	https://www.bmw.nl/nl/modellen/2-serie/gran-coupe/ontdek/highlights.html
coupé		2	http://t2.gstatic.com/images?q=tbn:ANd9GcQbW9IM--lG07gH0tbgbW1w61wtptlHTafSBrwwOQGBIYW0mJn7BQUUY6o	https://www.autoscout24.nl/informeren/autonieuws/bmw-8-serie-gran-coupe-is-goedkoper-dan-coupe-en-cabriolet/
coupé		3	http://t3.gstatic.com/images?q=tbn:ANd9GcRXyfnnKa7Ul8qY7lf3I0S2FSxB_evW-V-CPkw8krMvkytgyIyyp52U8nI4	https://www.mercedes-benz.nl/passengercars/mercedes-benz-cars/models/glc/coupe-c253/explore.html
coupé		4	http://t0.gstatic.com/images?q=tbn:ANd9GcQoEwpM_zqHVM3h8NZH2dzhs7UWceRWwpEmZEVcTDeRM5qaE2mutZJCwYQ	https://www.mercedes-benz.nl/passengercars/mercedes-benz-cars/models/c-class/coupe-c205/explore.html
coupé		5	http://t1.gstatic.com/images?q=tbn:ANd9GcR0KelZQshOKxTq4cQrqiX4y6L-lZ80YlB3m10b_W7NLYWo5aH0DNpSDEo	https://www.autokopen.nl/autonieuws/2019/augustus/46599-nieuwe-mercedes-benz-gle-coupe-beproefd-concept
coupé		6	http://t2.gstatic.com/images?q=tbn:ANd9GcTEM3du2x0AIKxVkpMU8NAryqsm7UrmcImKdpwMGp3vvxF8oTszJpV3oKU	https://www.autowereld.com/nieuws/autonieuws/id/28091/bmw-8-serie-gran-coupe-is-goedkoper-dan-coupe-en-cabriolet
coupé		7	http://t3.gstatic.com/images?q=tbn:ANd9GcTmdAbEOdmwAHOUrDGPKMH_L-poAdxObPRdrbIv3nZB-BNoutqCdY5iYt4	https://www.autoscout24.nl/lst/mercedes-benz/c-180/bt_coup%C3%A9
coupé		8	http://t0.gstatic.com/images?q=tbn:ANd9GcS-F8bEgFTrg0tg2d_H91FYfc2x8NBNrx4Bxmc00DGBpZVrDQ4xoO70UAg	https://www.autoweek.nl/autonieuws/artikel/dit-kost-de-bmw-8-serie-gran-coupe/
coupé		9	http://t1.gstatic.com/images?q=tbn:ANd9GcQ1qjUJq9FtBxgm_3hFqbzjdw0QqQiiI9P6RzGi0UZwexqvCmPY6kSlNCDq	https://www.autowereld.com/nieuws/autonieuws/id/28392/de-sedanversie-van-de-bmw-1-serie-heet-2-serie-gran-coupe
coupé		10	http://t2.gstatic.com/images?q=tbn:ANd9GcQ6X2wZaE0pKjm4XdSix0Zr26maZRSTFSnyJTYLLdwRnFGbKSYB-mkFiXQ	https://en.wikipedia.org/wiki/Coup%C3%A9
coupé		11	http://t3.gstatic.com/images?q=tbn:ANd9GcQLH4A8Ga69TWZCFJRmtvRM4k3LqlW-dnBi5BXpI-Y1SrdMkCdGl_yT2FUU	https://www.autoblog.nl/nieuws/dit-is-de-gloednieuwe-bmw-2-serie-gran-coupe-131418
coupé		12	http://t0.gstatic.com/images?q=tbn:ANd9GcQ_534HjUnH40sel31JCe3_jucVx0kJSIX-K5Uvv6eZUw8ZUgNuGbWmDMA0	https://www.bmw.co.th/en/all-models/2-series/gran-coupe/2019/inspire.html
coupé		13	http://t1.gstatic.com/images?q=tbn:ANd9GcSr_cRBzmOje_EM6du4bR0dkTMgDERsmgp03pY_iyLzCR7-KwtockzndGWy	https://www.vanhooffbmw.nl/series/bmw-2-serie/de-bmw-2-serie-gran-coupe/
coupé		14	http://t2.gstatic.com/images?q=tbn:ANd9GcQ1HM9mO4pItpWv0n3Ht9uYZZpckYT23ENxuxJSwEH2-1Ofdfg5SscqdlZ5	https://www.autokopen.nl/autonieuws/2019/augustus/46553-bmw-8-serie-gran-coupe-komt-in-november-naar-nederland
coupé		15	http://t3.gstatic.com/images?q=tbn:ANd9GcSmyGethUvmOun_pxlFVafNQEzYJWmiQDhVJelvPCGNx8Iz_5td-joWSiA	https://topgear.nl/autonieuws/porsche-cayenne-coupe-1e-rij-indruk/
coupé		16	http://t0.gstatic.com/images?q=tbn:ANd9GcS7rSksEJTJr0gxxN8c1GnsQlElBVoeUCoAfJ6Qk-TilJG4XCIz-HFaKKvN	https://www.autogespot.com/bmw-m6-f06-gran-coupe-2015/2020/03/08
coupé		17	http://t1.gstatic.com/images?q=tbn:ANd9GcSac-TUAEOodCVC0XeJ_VqSjuODV0aEw4ueOr9QN0IcoalLB5fcQ92B-pnx	https://www.autointernationaal.nl/2017/05/stijlvolle-alleskunner-mercedes-glc-coupe-250/
coupé		18	http://t2.gstatic.com/images?q=tbn:ANd9GcSoC4g_eQfs8u7iZBQaDd0FxunFmrzng16ZLivAY8io_IR_N5NOFYwORI4	https://www.autoblog.nl/nieuws/porsche-cayenne-coupe-rijtest-en-video-125174
coupé		19	http://t3.gstatic.com/images?q=tbn:ANd9GcQ-sgeJSOsPE_UhOTUpjl0Ib4pH6DJTnzhrd31XYRZ2DxdVdZb7utPvhpEJ	https://en.wikipedia.org/wiki/Mercedes-AMG_GT_4-Door_Coup%C3%A9
coupé		20	http://t0.gstatic.com/images?q=tbn:ANd9GcQ_kzEVCw3xmkchTLXgryg_m0Q2bDseL4G12k8cbWe3Fyr1skT2X-U-ItU	https://www.autoweek.nl/autonieuws/artikel/prijzen-bmw-2-serie-gran-coupe-bekend/
coupé		21	http://t1.gstatic.com/images?q=tbn:ANd9GcSuh359Iz2p-SvZ--dBcpr60qhcsCGD3OLdjf1HkwAGCTHGps_URqX1cJ0	https://www.mercedes-benz.nl/passengercars/mercedes-benz-cars/models/c-class/coupe-c205/explore.html
coupé		22	http://t2.gstatic.com/images?q=tbn:ANd9GcRzNzv0fWBu87zZkuyjE4x91ybOtxbOpVw54u7wTMxCqdPzgTxQVVcFiaQJ	https://www.nu.nl/auto/6002860/komst-bmw-m8-gran-coupe-maakt-8-serie-familie-compleet.html
