query	searched site	rank	thumbnail url	url which contains image
minibus		1	http://t1.gstatic.com/images?q=tbn:ANd9GcRr-Yn9CYZ8LU-amGnTGQS8TV5jlhi2RzLbMpgjFYbD3V6cpv6APmkz8ck	https://www.tripadvisor.nl/AttractionProductReview-g188590-d16702759-Private_Departure_Transfer_Amsterdam_City_to_Amsterdam_Airport_AMS_by_Minibus-Amst.html
minibus		2	http://t2.gstatic.com/images?q=tbn:ANd9GcRddQTrtyRsNjStPxNLr5KMfwC7ThkD5GuP_CVEblJlFiAfUOOD2YxmLNw	https://www.europa-vrachtwagens.nl/minibus/frankrijk/~a1b29c115nFR/tweedehands.html
minibus		3	http://t3.gstatic.com/images?q=tbn:ANd9GcQr0jHTSCO33xsloq5wVhebeFA_308g-fL_paq7j89A7f3ojMmKXte5ka0U	https://jcautomobile.en.alibaba.com/product/60364886331-810506431/18_seat_mini_bus_JAC_minibus_price_chinese_bus_for_sale.html
minibus		4	http://t0.gstatic.com/images?q=tbn:ANd9GcTQ6Ivml1huH7w08AfH_S8PaHVmRmRd1ctf-ZulSf6gHlek1I-io29W5bDe	https://brigade-electronics.com/nl/voertuigen/minibus-veiligheidsproducten/
minibus		5	http://t1.gstatic.com/images?q=tbn:ANd9GcT-gOHkE-IbH9UPi2t5roAnXYSoKlAr1o-z3U3jiuCTqxOQOxyBL-zB9UBN	https://www.minibus-online.co.uk/LightweightMinibus/3227/Ford-Transit-17-Seat-Lightweight-Minibus-For-Sale-Drive-On-A-Car-Licence
minibus		6	http://t2.gstatic.com/images?q=tbn:ANd9GcRO6wKI2LwsQq6eoE5gCdbOInvDw5ToVDyTdnKtWVSdqz7YXO2LYHm6z5or	https://specialvehicles.en.alibaba.com/product/60657814304-804187997/Foton_brand_Minibus_Micro_Bus_Mini_Van_13_16_seats.html
minibus		7	http://t3.gstatic.com/images?q=tbn:ANd9GcTfcsLNGHGaQb4mdxPBIkQdrcvC6JGDipMN9gh_XYhMnLSMN-V2OaWH_Z8	https://www.mascus.nl/transport/gebruikte-minibus/renault-master/srkgneml.html
minibus		8	http://t0.gstatic.com/images?q=tbn:ANd9GcTKULHWsOuOhq8P_RcjICq5IPMOo_m8wUHq_L7uCJzSpeNgYbMn3obrGo4k	https://nl.wikipedia.org/wiki/Minibus
minibus		9	http://t1.gstatic.com/images?q=tbn:ANd9GcREAF3fsBtkqgZOvnmYCgoCm-uvFwLTsYIFGtZwcwHQco3hMonViEuzRto	https://cab-inbali.com/product/minibus-isuzu-elf-long/
minibus		10	http://t2.gstatic.com/images?q=tbn:ANd9GcRiVWREwrop-C4X-OVDFEi90GzzN50uqPIvaobGa9GHYESrqGKPaduyIWWg	https://cab-inbali.com/product/minibus-isuzu-elf-giga/
minibus		11	http://t3.gstatic.com/images?q=tbn:ANd9GcSglyjrFSAvwRt_6qtHDGqNcccL_lhxqbvsbMnaSk9WW-CiDpVCTtVdoGg	https://www.vanvliet.com/vehicles/s/815/vans/mini-bus/toyota-coaster-22s-4x2-mini-bus-de-luxe
minibus		12	http://t0.gstatic.com/images?q=tbn:ANd9GcRZRqtHggeTubNugnAPKu762lTPvklPm00sDmljTvzpQHkAZbEg2ZTJDWE	https://www.vanvliet.com/vehicles/s/644/vans/mini-bus/hyundai-county-de-luxe-mini-bus-30
minibus		13	http://t1.gstatic.com/images?q=tbn:ANd9GcTvcZCMEWnfoJ61cw5ZSdqE3Fcb3xeUxQRPw6SWkPzXGmexJJDffVeN0_qT	https://www.autoredo.com/en/vehicle/nissan-urvan-minibus-15-seats-highroof/
minibus		14	http://t2.gstatic.com/images?q=tbn:ANd9GcSBQCvwVXssrySUQwKfTSkVqbM-G1f1zmpwA4kZovl7Gbiy9i7dO-sdIh2Y	https://www.shutterstock.com/nl/search/minibus
minibus		15	http://t3.gstatic.com/images?q=tbn:ANd9GcQi-HHI7lT1DwIT9hnXkA3l23rVkMFbbMu5vytm-mnU76jLCf6vVLRRpk_cAw	https://dutch.alibaba.com/product-detail/4x4-all-drive-19-seats-minibus-for-plateau-terrain-60669654093.html
minibus		16	http://t0.gstatic.com/images?q=tbn:ANd9GcTd0tIPsqUTylwPjCCerOIFSXiHy7V9xMtIeO9WttB5fmoVXzc_EmlB81o	https://www.mascus.nl/transport/gebruikte-minibus/ford-transit/rgsdlefr.html
minibus		17	http://t1.gstatic.com/images?q=tbn:ANd9GcRYkyb8dBQiv6WQxROwnkSJVMym4ED-QjaOsLJggt-9rIs2WFnklbkngEY	https://inleaseautos.nl/lease-voorraad/personenauto/mercedes-benz/sprinter/personenbus-diesel-automaat-22bbt5-17-pers-evm-x-clusive-minibus-2-2-cdi-aut-leder-panorama-airco/
minibus		18	http://t2.gstatic.com/images?q=tbn:ANd9GcR8eB1T59l-C5GlM_B6w75sv8Ld-bSg75nQg5O-sZF_8i4OaJavcmRZI_uB	https://mecar.nl/minibus-rental-thehague-denhaag/
minibus		19	http://t3.gstatic.com/images?q=tbn:ANd9GcRwRPJeNchjNct7fsY0m9b_UY_BHOTVoOiK0nevTyteC2Pi5N0dMmebWaSy1w	https://shazhou.en.made-in-china.com/productimage/seNxWCuGHJkQ-2f1j00kgoRriCdAYqw/China-6-Meter-115HP-Toyota-Coaster-Copy-19-Seats-Minibus.html
minibus		20	http://t0.gstatic.com/images?q=tbn:ANd9GcR1-sm4o5ENaRJsxnAeUI2vE1R1QXRAyMRlNUZdvej9qfwV-6dV7yGYjmc	https://www.omroepwest.nl/nieuws/3758138/Zonder-chauffeur-met-de-minibus-naar-HagaZiekenhuis
minibus		21	http://t1.gstatic.com/images?q=tbn:ANd9GcRPcDbvnGbpzx68B-tgMdONl0jCRB1DZz8J5rXw9_jlO-l9tQ20X-SvNXM	https://www.rentautobus.com/en/netherlands/north-holland/amsterdam/item1367
minibus		22	http://t2.gstatic.com/images?q=tbn:ANd9GcR1nSmdRV6K1lBKXFHQX1jdKzLckAD__1RCCAWlPdLzv69TqHVin38wIQ	https://driveamsterdam.com/fleet/
minibus		23	http://t3.gstatic.com/images?q=tbn:ANd9GcTqPDEA-Zv2c5NzX7Po4yBIONkZxRA_Z2YOsmjIXRZoPnG5bSewDZrQHPvU	https://www.pinterest.com/pin/58476495145491909/
minibus		24	http://t0.gstatic.com/images?q=tbn:ANd9GcRXA0BvEs0ySmca_GihxvQGz8ejnlng7jH0ByzWyZUWgTd-B_bRdIrn_M-G	https://www.bakkertravel.nl/Minibushuren
minibus		25	http://t1.gstatic.com/images?q=tbn:ANd9GcTndCESE12IqD_zsE7y8iIV_76gbvcSha5TTZzYbBRySrLT9drar6H85dF-	https://scottishblue.com/
minibus		26	http://t2.gstatic.com/images?q=tbn:ANd9GcQuPBGwtDs3z54JvjL5xZbY7Bj5ArA6vbkZfv0zqUtIVd3yfq7Yh_at7XM	http://dutch.coasterminibus.com/sale-7299146-toyota-style-rosa-tourist-mini-bus-coaster-vehicle-6m-with-yuchai-engine.html
minibus		27	http://t3.gstatic.com/images?q=tbn:ANd9GcQNBj7NXVYWOaTwsb4K2y2WnMl18CEHph8CWQLeI2Zm3NLJ0OTz_uKA_t_o	https://driveamsterdam.com/fleet/
minibus		28	http://t0.gstatic.com/images?q=tbn:ANd9GcQP7GP4zjefbj8x-CpF7u4cP6rFJiqfs7BmDk6BXGsmolnNis73AW2U_Q	https://www.nzrentacar.co.nz/vehicles-group-m/
minibus		29	http://t1.gstatic.com/images?q=tbn:ANd9GcS-AWfQrFF7zkVOFcL2rSKsc4iI-JaezWcCP0keyV82ZfKWWBKDIIqSvHwt	https://www.rentautobus.com/en/netherlands/item33
minibus		30	http://t2.gstatic.com/images?q=tbn:ANd9GcQhRz8v4eepGV5wXbq9Ky-ZvnTjAq6WLkVqyHkQzXVLEi3hUTEMEjqoGw	https://www.brouwertours.nl/minibus-huren-voor-12-personen
minibus		31	http://t3.gstatic.com/images?q=tbn:ANd9GcRLDl6KssCsu6az2rahhYgZVLr8Hio3bk5K93oFH7R-z0aqGW6XrPceFdo	https://www.beuk.eu/en/coaches/comfort-class/mini-busje
minibus		32	http://t0.gstatic.com/images?q=tbn:ANd9GcQIXdImEFauMBbNxy9obRUy3u6DqFABMyOCQnBQ1svT2y1ZqhqekKqWYg_f	https://www.facebook.com/Clarkes-Minibus-Car-Hire-225706944269742/
minibus		33	http://t1.gstatic.com/images?q=tbn:ANd9GcRktPk3LyKYgxi120wLxbbp1iA8FFgDHxYRBkdQloLpu7JouUtjJ1cc3Gfc	https://www.vanvliet.com/vehicles/s/644/vans/mini-bus/hyundai-county-de-luxe-mini-bus-30
minibus		34	http://t2.gstatic.com/images?q=tbn:ANd9GcRgXcA8vWw7Xf_O7jszziLLQbELm4ZEfiCVfY7F4eoqInv6hAOQTXTe_nc	https://www.autoredo.com/en/vehicle/nissan-urvan-minibus-15-seats-highroof/
minibus		35	http://t3.gstatic.com/images?q=tbn:ANd9GcRDaFnC_2V3qnvXffFd7ukb3E_7NJ3nYrqRi6265e9fVE0K4V7vSB52BoU	https://www.justdial.com/Etawah/Mini-Bus-On-Hire-in-Civil-Lines/nct-10890519
minibus		36	http://t0.gstatic.com/images?q=tbn:ANd9GcSuMYqL-s292mw0-P6yefZtrezFF47SrOfNq2c1j7A3xegWVg_ywK5cFA	https://www.alibaba.com/product-detail/KINGONE-H200-11-16-Seats-Mini_60722231577.html
minibus		37	http://t1.gstatic.com/images?q=tbn:ANd9GcRxLRlKh11uqwsJm2KI6a4v-h_4r7V7QH-2BlhY_-QG6QRWKcJ_9dVEJrw	https://www.thenorthernecho.co.uk/news/local/southdurham/17477668.children-stranded-minibus-stolen-newton-aycliffe/
minibus		38	http://t2.gstatic.com/images?q=tbn:ANd9GcSzJAuthxaxX1N1E4U2GF38xAz56kZ_kkOsjC_fMA-5bHVXflKGq62Cdq5NKQ	https://nl.123rf.com/photo_92411944_van-auto-vectorvoertuig-minivan-familie-minibus-voertuig-en-automobiel-banner-ge%C3%AFsoleerd-citycar-inges.html
minibus		39	http://t3.gstatic.com/images?q=tbn:ANd9GcRWLD7kPliQlAeRz1eHrhGdXy_sqTV08Hk18-IqEiDaw5DO_uwUX-ZXdP0	http://budapestminibus.com/
