query	searched site	rank	thumbnail url	url which contains image
minispace		1	http://t1.gstatic.com/images?q=tbn:ANd9GcQu3ZzNedrmcEDGnrrOcgolS9zJ5UvCr66s8yYAB1EgadIKZJmEKfMUc5E	https://www.caradisiac.com/un-minispace-a-15-000-eur-108880.htm
minispace		2	http://t2.gstatic.com/images?q=tbn:ANd9GcRkLZnS5DR3TjsC1MRNzig7r9RRsZTM2KfH9EPeKuq0TUJTQp0fp9PK6FRE	https://www.caradisiac.com/Quel-est-le-meilleur-minispace-pour-la-famille-65312.htm
minispace		3	http://t3.gstatic.com/images?q=tbn:ANd9GcQ_gVdf48ci4pyiQCS5_wsBrDP2vAwNsyEzJGQy-Z-bSrj23CVRP6PQ84ik	https://voiture.kidioui.fr/lexique-automobile/minispace.html
minispace		4	http://t0.gstatic.com/images?q=tbn:ANd9GcSV-MTHm2WkmNWp8WnqwTJ4lzSTHjkNwXuyvVPtw1Mjk5f7rDYIfUGiKg	https://www.caradisiac.com/Quel-est-le-meilleur-minispace-du-marche-45524.htm
minispace		5	http://t1.gstatic.com/images?q=tbn:ANd9GcSPQSj9ulyFVq_UgjRI2Yq4_IYHVsuIG3_7O_h-jXA08IPsYi2WEnDBW-8	https://www.caradisiac.com/Qu-est-ce-qu-un-minispace-45271.htm
minispace		6	http://t2.gstatic.com/images?q=tbn:ANd9GcTsYW2Mr0gnnMPNZTm_pEbYpBrHU-b4DY6q5ZvGfwt9pWrrqWLuvjZjyl8	https://www.auto-selection.com/guide-voiture-occasion/criteres-recherche-voiture-occasion/critere-categorie/voiture-monospace/minispace/
minispace		7	http://t3.gstatic.com/images?q=tbn:ANd9GcSy-nseRjGqB3jiWfjQ2eAepZCFLXjolgw-xWJMs0we6TLNjNZ_UchjwP0K	https://www.caradisiac.com/Crossover-urbain-minispace-ou-citadine-28712.htm
minispace		8	http://t0.gstatic.com/images?q=tbn:ANd9GcS6WHoxskTt6qKQGXuB-Aj6Y3vLuxgVR40y2zks1AS7ZwugwzrPf1VLU_Kf	https://www.caradisiac.com/Bilan-un-bon-minispace-une-citadine-correcte-87831.htm
minispace		9	http://t1.gstatic.com/images?q=tbn:ANd9GcRZVvh61x1iRukhQUb2bIJD_Rwe9l1zsvohnottbnTVmItnXW4uk2iSrs8	https://www.latribune.fr/entreprises-finance/industrie/automobile/20100806trib000536965/l-essai-auto-du-week-end-opel-meriva-un-minispace-astucieux-et-original.html
minispace		10	http://t2.gstatic.com/images?q=tbn:ANd9GcTeuYn6SUbIjt9DlMMqFvW4w0m7v4AKL9eVCDWEBao9nNFhwNjKqWGAKtfY	https://www.auto-selection.com/guide-voiture-occasion/criteres-recherche-voiture-occasion/critere-categorie/voiture-monospace/minispace/
minispace		11	http://t3.gstatic.com/images?q=tbn:ANd9GcS4FzFJh1BXwWLTmT6aPwuz8yDvanMEwrCdOc4ibfeGsi9MlfyfieVYSso0	https://www.caradisiac.com/Suzuki-Splash-Minispace-enjoue-45296.htm
minispace		12	http://t0.gstatic.com/images?q=tbn:ANd9GcRAZa9zgQQ53Iduh1N5SF60X8CxxWFBbcyojaUKVoEXaZNPYXqZQZAAUGA	https://www.auto-selection.com/guide-voiture-occasion/criteres-recherche-voiture-occasion/critere-categorie/voiture-monospace/minispace/
minispace		13	http://t1.gstatic.com/images?q=tbn:ANd9GcSi1vDhl-mxyh0u0_1eyBHXwmQ6h8wTiEU2g2ARNVyFo4mab6nELaw12D0	https://www.autoplus.fr/ford/b-max/actualite/Ford-B-Max-Occasion-monospaces-citadin-1502338.html
minispace		14	http://t2.gstatic.com/images?q=tbn:ANd9GcScBmeMiR7x7xuJUpNm92hZ_bL4-PKHsZng-fcwixcW-e8_WLS2gUDTk3c	https://www.largus.fr/actualite-automobile/hyundai-passe-au-minispace-649370.html
minispace		15	http://t3.gstatic.com/images?q=tbn:ANd9GcSDlnJ4bWm7TspPvBDGCMCwoZvm8no73qfQIi5NJbuQtTr1Y8MyO8HklzU	https://voitures.com/francfort-2009-le-minispace-de-kia-a-un-nom-le-venga-17470/
minispace		16	http://t0.gstatic.com/images?q=tbn:ANd9GcSrIJdpNkRLhMOaSPF4yixy7vAJRZbLfRIDTd5qsjycO4hqYsRZPyBCMxg	https://www.paruvendu.fr/auto-moto/I/Essai-Kia-Venga-2010-un-minispace-fonctionnel-et-dynamique-i28914
minispace		17	http://t1.gstatic.com/images?q=tbn:ANd9GcTlwgTwBAwDPeBEBWLY4YokWLpXnyOH_AkAUiP06HfriHDqHYf1gD_UKgA	https://www.largus.fr/actualite-automobile/hyundai-passe-au-minispace-649370.html
minispace		18	http://t2.gstatic.com/images?q=tbn:ANd9GcRPgbg6fUdZ2KxVHUtIktRLKtnyYeZhq8HTWWHuYpkJLJUeQk6jfinoGA	https://www.challenges.fr/automobile/concept-cars/kia-n-3-geneve-2009-le-minispace-du-matin-calme_409208
minispace		19	http://t3.gstatic.com/images?q=tbn:ANd9GcQJAOXHst6oQqteUK9nSjJjB9smlkGoVEe0vdy1t9y7h8deip3ONbOXp24B	https://www.turbo.fr/actualite-automobile/ford-b-max-le-minispace-le-plus-vendu-en-europe-au-premier-trimestre-92049
minispace		20	http://t0.gstatic.com/images?q=tbn:ANd9GcT-qTTpURYBD3CwyfsqnNAf2_sso0vZJTPB6GSw-KzeFzu-AFGqz15lU8c	https://www.paruvendu.fr/auto-moto/I/Mini-monospace-petit-mais-polyvalent-i2331
minispace		21	http://t1.gstatic.com/images?q=tbn:ANd9GcQ1QSWMFyMSd3gq9_QKL8tYl3IxItNY0RTHlZ4Uj7Q3ndvamIE1VbMs4i0	https://news.autojournal.fr/news/1517490/Kia-Stonic-Kia-Stonic-2017-SUV-Kia-Venga
minispace		22	http://t2.gstatic.com/images?q=tbn:ANd9GcQJtj6Rs_BXlYa_z8W6SDZ6wq5wMQ20LaGmoF0CewBCAz-CubFuHKb0av0	https://www.largus.fr/actualite-automobile/hyundai-passe-au-minispace-649370-721808-photos.html
minispace		23	http://t3.gstatic.com/images?q=tbn:ANd9GcTBdB4dxh1n7HCEdHN-bdut_Cq2yWHhztZnd5zJ5LKiDaUrW8SHfSvYMA	https://www.paruvendu.fr/auto-moto/I/Mini-monospace-petit-mais-polyvalent-i2331
minispace		24	http://t0.gstatic.com/images?q=tbn:ANd9GcT-qTTpURYBD3CwyfsqnNAf2_sso0vZJTPB6GSw-KzeFzu-AFGqz15lU8c	https://www.paruvendu.fr/auto-moto/I/Mini-monospace-petit-mais-polyvalent-i2331
minispace		25	http://t1.gstatic.com/images?q=tbn:ANd9GcQ4nNeA3dQ7gjCRHRLA4yj-V73Xvomdf3gIxFuk1G0uWEJV5MbrFr_t6zSi	https://www.paruvendu.fr/auto-moto/I/Essai-Lancia-Musa-2004-minispace-de-luxe-i29567
minispace		26	http://t2.gstatic.com/images?q=tbn:ANd9GcTLcCe_ZpDQBoxKXjHpIPwZemvja0Wq-VZYJ5Qi51VFFKUAVzj6uQ_p1Qc	https://www.usinenouvelle.com/article/honda-devoile-la-nouvelle-generation-de-son-minispace-jazz.N284989
minispace		27	http://t3.gstatic.com/images?q=tbn:ANd9GcSLVprcPjjhH2MH8oAgzxYky077pQlIdksvmYrW-1o4d4YGILgd14Lo3yM	https://www.latribune.fr/entreprises-finance/industrie/automobile/20100212trib000475203/essai-honda-jazz-un-minispace-de-qualite.html
minispace		28	http://t0.gstatic.com/images?q=tbn:ANd9GcThKTLsR80uHPY_1FAXjMg0JU9LV5cZg9oWlxLoeomG3-M_lVGJfE-PI4Mi	http://www.voitures-maroc.ma/actualite-auto-maroc/ford/b-max-le-minispace-de-ford-se-prepare-pour-geneve-938.html
minispace		29	http://t1.gstatic.com/images?q=tbn:ANd9GcS-UJ4L_QviqSGlt2bbVnR-T5_s_zt7c8lnlope9t1Ahd7SCu5qsRyg-k00	https://www.largus.fr/mondial/2010/toyota-devoile-son-minispace-le-verso-s-190887.html
minispace		30	http://t2.gstatic.com/images?q=tbn:ANd9GcRwAZwk1Hz4Adawa8Bt4SGBFQuHSeqTb0hVGZ-eYJOIlCSq4N8x0p85ww	https://www.caradisiac.com/Peugeot-1007-petite-et-astucieuse-43330.htm
