query	searched site	rank	thumbnail url	url which contains image
monospace		1	http://t1.gstatic.com/images?q=tbn:ANd9GcQswPnLW6_r70TZqUaDpk1xyiuK9F_6d6hHBeMKfE3akX9HSUe5ksXtMl8	https://www.turbo.fr/actualite-automobile/guide-dachat-les-monospaces-compacts-30107
monospace		2	http://t2.gstatic.com/images?q=tbn:ANd9GcSCwKIiSuyJCW81IvEXqfS8qF4nkF9m3XixvVQ5iwB3Rs4KrHPi_cb8qMU	http://www.autonews.fr/guide-achat-auto/quel-monospace-compact-choisir-31680
monospace		3	http://t3.gstatic.com/images?q=tbn:ANd9GcTFR3QCIf-G7wD0npDyO1M0ttCFfs-qgw9fOmlfVMh1aLCHWC32w9QEYie5	https://hintigo.fr/monospace-compact/
monospace		4	http://t0.gstatic.com/images?q=tbn:ANd9GcS-K2seSGrBRSH1a2r0M5qo_6FnfesC3XE7G9E6yW0jnkzuG5SdDb6iPT8N	https://hintigo.fr/monospace-compact/
monospace		5	http://t1.gstatic.com/images?q=tbn:ANd9GcRx14yA-zhr4iKVL20veZG2zykbEShgx_1YCwm8xUj1ItPFNYcVumYE4U0	https://hintigo.fr/monospace-compact/
monospace		6	http://t2.gstatic.com/images?q=tbn:ANd9GcSGkuwpANN6I5Fn0wW1ylo5OtAiyL2YQJT1zlKYPi9h6L2D4_6zrc1Gww	https://hintigo.fr/monospace-compact/
monospace		7	http://t3.gstatic.com/images?q=tbn:ANd9GcRAWrVyl9ventS32IUSG-GvNKffKo02L9jPfG93Sb0hp_rhrn0eBqfy-CA	https://www.caradisiac.com/Monospaces-compacts-7-places-quel-est-le-meilleur-67026.htm
monospace		8	http://t0.gstatic.com/images?q=tbn:ANd9GcSS3UAQ1Xi-3fOkC-O8eFT7utdFhF3xEYOG2MgSkOlm5kjAzNQgGscztxj9	https://www.autoplus.fr/mitsubishi/actualite/Mitsubishi-Expander-monospace-compact-SUV-Indonesie-1518664.html
monospace		9	http://t1.gstatic.com/images?q=tbn:ANd9GcQUK8AwiU3Bil2YYDWVXHUGL7nv6YE7Su9vlF6dt6VWuoh130wyMiu9sg	https://www.alamo.com/en_US/car-rental/cars/mq/cmmr-compact-monospace.html/countryCode=MQ.html
monospace		10	http://t2.gstatic.com/images?q=tbn:ANd9GcTdw4K-0p7LJUtT_l-xaqA6LroLP7E6Zj0k0pOoIAUQ9xDqDrGgjeRpqqY	https://www.alamo.com/en_US/car-rental/cars/re/cmmr-compact-monospace.html/countryCode=RE.html
monospace		11	http://t3.gstatic.com/images?q=tbn:ANd9GcRTKhqvFDPegnK8XQcX5IrnGdcnG4UFPdDOpduH3UGS18EnBMSWNpmEgagY	https://blog.vivacar.fr/top-5-des-meilleurs-monospaces/
monospace		12	http://t0.gstatic.com/images?q=tbn:ANd9GcSn_YFLzzYbOFRryJUc6z-7dPQtszYZKKf0L2vLUufLnUIyh0UJbGD2k58	https://www.automobile-magazine.fr/matchs/article/9175-essais-matchs-citroen-c4-picasso-2-0-bluehdi-150-intensive-contre-bmw-218d-active-tourer-lounge
monospace		13	http://t1.gstatic.com/images?q=tbn:ANd9GcSlQLSdYEitOZA2DGKMtNujeVsSpA5JMbD-9GN8bN-QjFPQqr8LHwKtrNPe	https://www.breezcar.com/actualites/article/audi-a3-van-monospace-compact-hybride-rechargeable-0715
monospace		14	http://t2.gstatic.com/images?q=tbn:ANd9GcRnLbbpKvHP5ffJkaHIkIHw5CblI0ySQVqVcXDSUqVn53kiIF2wzrMWD0a8	https://www.challenges.fr/automobile/essais/essai-du-monospace-compact-mercedes-benz-classe-b-de-2019_641350
monospace		15	http://t3.gstatic.com/images?q=tbn:ANd9GcTOXdAPiM5n_RqLWXEW05eKtNxwsEBi4b6i_45yyilMc5QGh3krqUgZHxM	https://www.youtube.com/watch?v=-6d6-fNzHWc
monospace		16	http://t0.gstatic.com/images?q=tbn:ANd9GcT-4boJbLpEI1pZwUpaKHH4eOvj9Ub9_bHuv4_ut2GieJSbOiUlm_71fHPk	https://www.motorlegend.com/actualite-automobile/la-future-207/186.html
monospace		17	http://t1.gstatic.com/images?q=tbn:ANd9GcRHmBPlMvBd-V0Gp6Odup177MJ-_vI_Lc9MXXRs3ExiIz5FZmoFp3cFxas	https://blog.vivacar.fr/monospaces-occasion-2018/
monospace		18	http://t2.gstatic.com/images?q=tbn:ANd9GcRK0CBBRY7cpx490VZFkcQg_Xt7Oer4dIqzAIcR3JeI-52FIqeyi-xwNTU	https://www.motorlegend.com/actualite-automobile/la-future-207/186.html
monospace		19	http://t3.gstatic.com/images?q=tbn:ANd9GcQSjZQBZw0-bKiduKTsOMsj6sn49wRRmUu27Agt-yQbZ5_GSlcdEUwbXE4	https://www.leblogauto.com/2017/09/buick-gl6-decollage-monospace-compact-chine.html
monospace		20	http://t0.gstatic.com/images?q=tbn:ANd9GcSUPdvuSFb1a21MojrhicuayPmg4bvfxuw1DfrlMwDhPTDq1T7afCm56cw	https://www.caradisiac.com/Les-meilleurs-monospaces-40207.htm
monospace		21	http://t1.gstatic.com/images?q=tbn:ANd9GcQbeGLJSkS_djpzQ6WdvRC8GrZYSC-V_fU47m8L_Au9ZfzCtKbviW27aVbW	https://twitter.com/moteurnature/status/639689158252982272
monospace		22	http://t2.gstatic.com/images?q=tbn:ANd9GcT5tSaj_1q_UG_7eiwxMQcLTtXaIu_nRN_--p-UkT68W1ScOR6gvv-vCRM	https://www.caradisiac.com/Les-meilleurs-monospaces-40207.htm
monospace		23	http://t3.gstatic.com/images?q=tbn:ANd9GcR5zgIiw0s7yefXptJbF2WGqbtq_8Fcl3IYWwglEDf9RjQfPLoMZ0oqPcU	https://www.auto-moto.com/diaporama-auto-moto/monospaces-compacts-chers-marche-diaporama-213887.html
monospace		24	http://t0.gstatic.com/images?q=tbn:ANd9GcTY_KLkArqaPp2Q2fadZQbdS0kJAo9JZuc_Lc-yItsdqqKOXXkRxkeQt1w	https://www.caradisiac.com/Mondial-de-Paris-2010-Toyota-presente-un-nouveau-monospace-compact-le-Verso-S-60451.htm
monospace		25	http://t1.gstatic.com/images?q=tbn:ANd9GcT-IMfTiEg5VNIA5sF2BnA3vPGJGhrWaSJkEqqKjItyAAc0EeoJI1rXK98	https://www.largus.fr/mondial/renault-grand-scenic-2016-premieres-photos-et-infos-officielles-7893387.html
monospace		26	http://t2.gstatic.com/images?q=tbn:ANd9GcQWehTtYeQLRmr62nBezUUShp8IrjYzjw-w8lHe1C26EVFZ8CrI8mLYP3vK	http://www.coteloisirsauto.com/kia-carens-l-un-des-meilleurs-monospaces-compacts.html
monospace		27	http://t3.gstatic.com/images?q=tbn:ANd9GcS_MzyzmyfpoI6kS3MYlQOrxUMFcpgwGwyRqXnZiEarXNWLQg_k_WDyrCU	https://mag.starterre.fr/presentation-vehicule/nissan-note-monospace-compact-et-spacieux.html
monospace		28	http://t0.gstatic.com/images?q=tbn:ANd9GcQb8FvAUPcwGwL1Dvy7n2arwHLNPeSH43e0YmM_kVWjssQsbZsk0b01HA	http://www.theparking.eu/used-cars-detail/hyundai-matrix/hyundai-matrix-1.5-crdi-102cv-monospace-compact/JJCEFEEF.html
monospace		29	http://t1.gstatic.com/images?q=tbn:ANd9GcQc6JCI777gZiJl9NF-jN8hDeAURbAkkSIy296nI9zEz4GjWpnGwbKNbg	https://www.alamo.com/en_US/car-rental/cars/lu/cmmr-compact-monospace.html/countryCode=LU.html
monospace		30	http://t2.gstatic.com/images?q=tbn:ANd9GcSI_f6ITVJjeuW-gOk21gUE6qz-R4qMTjplmRNKepusuLyCT1Ns1FupCfg	https://www.automoins.fr/2013/07/le-monospace-compact-hyundai-ix20-a-partir-de-12490-e-avec-la-reprise-dune-vieille-voiture/
monospace		31	http://t3.gstatic.com/images?q=tbn:ANd9GcSfvXwfe041U5vTdVPDCG6Ggl13abXpz-zXDrbB9z6ShdQUgbqqR9JXqg	https://blog.autosphere.fr/media/essais/essai-mercedes-classe-b-200d-le-monospace-compact-vivra-/14262/
monospace		32	http://t0.gstatic.com/images?q=tbn:ANd9GcRUbnW-znO0PHLYd7zsMs4Lrs5Vk-ji1nN0Pn1FTxq2I1UdZB-Qy9fQkVU	https://www.lesenjoliveuses.fr/2013/05/essai-kia-carens-une-familale-seduisante/
monospace		33	http://t1.gstatic.com/images?q=tbn:ANd9GcTNcMhf-4ebL_gUwgdzhfkv20elBtVz1WzDI2VrR-Mm_kLCAX0pvsHWwqc	http://recherche.autoplus.fr/monospace-compact-essence.html
monospace		34	http://t2.gstatic.com/images?q=tbn:ANd9GcQjLkbHpLcDQmGu23sIe7o6HRjsayG_5sKotwU-yLzBIAX6NCMo54IJ9iMr	https://www.turbo.fr/actualite-automobile/bmw-m2-active-tourer-le-premier-monospace-compact-v8-de-lhistoire-104242
monospace		35	http://t3.gstatic.com/images?q=tbn:ANd9GcT4Jsxz9PwUpkBbrgy2JhkO--ImIVRXanKBpmPjcTLAvaxxcqEHgwc6n6Vl	https://www.istockphoto.com/fr/photo/nissan-noter-monospace-compact-gm538262565-58585070
monospace		36	http://t0.gstatic.com/images?q=tbn:ANd9GcTv2PeaRvNleyRt73i9vEZ7Pw7xpqoCKcJrRz5M_hcUG1j8oNFArgAyZSSx	https://www.lesenjoliveuses.fr/2013/05/essai-kia-carens-une-familale-seduisante/
monospace		37	http://t1.gstatic.com/images?q=tbn:ANd9GcSm3RYaACGpu1sbUJyidvK8ivPU-rii9yzcS10X8NPSl73YJ47CrM3xN68	https://www.challenges.fr/automobile/essais/essai-du-monospace-compact-mercedes-benz-classe-b-de-2019_641350
monospace		38	http://t2.gstatic.com/images?q=tbn:ANd9GcQIDeAZgUCieqnR0axC-_3CfsT5WQzmRC_zpg_I_aa58vcTwGMk7swwRTHN	https://www.automobile-magazine.fr/fiabilite-rappels/article/18545-fiabilite-le-peugeot-5008-premiere-generation-passe-au-crible
monospace		39	http://t3.gstatic.com/images?q=tbn:ANd9GcT_j8WyTERHTRkxrt2uZ2puw2W2A4ItCr3YMVxIWOnxhh-bXPw_9OOpu2WO	https://www.latribune.fr/entreprises-finance/industrie/automobile/20140214trib000815454/bmw-se-lance-dans-les-monospaces-compacts-avec-des-technologies-innovantes.html
monospace		40	http://t0.gstatic.com/images?q=tbn:ANd9GcTcSHecFUxiznYv_DNzvRFSCFPy4k3kS0BShwHc1qcepW7UpfGD-gpvBPY	https://www.pinterest.com/pin/381469030910667043/
monospace		41	http://t1.gstatic.com/images?q=tbn:ANd9GcTcSHecFUxiznYv_DNzvRFSCFPy4k3kS0BShwHc1qcepW7UpfGD-gpvBPY	https://www.pinterest.com/pin/381469030910667043/
