query	searched site	rank	thumbnail url	url which contains image
monospace		1	http://t1.gstatic.com/images?q=tbn:ANd9GcQiuG5cjzMYvfsvpGDltgeIBRXMAD1nQ2XGZrS4gYVD-21XFrISnUl2wQ8	https://www.caradisiac.com/Les-meilleurs-monospaces-40207.htm
monospace		2	http://t2.gstatic.com/images?q=tbn:ANd9GcS6B8IaeFNBb-BnaHxObvuJ1-a5ngVn3JCCt87QfUxsGQAQTsSWeyu_vbOK	https://www.caradisiac.com/Les-meilleurs-monospaces-40207.htm
monospace		3	http://t3.gstatic.com/images?q=tbn:ANd9GcSZ-9SUDIvFmtVobcWlz5gu4E2irOAc-6-4of5PgHqcnTS7AMX_Uokmp_w	https://www.caradisiac.com/Les-meilleurs-monospaces-40207.htm
monospace		4	http://t0.gstatic.com/images?q=tbn:ANd9GcSZfznuQdVygPkR0OvSpRjSLSg5nx96bibxVzYfNX8NGnk4DCHn9u03IC3I	http://www.topito.com/top-10-des-meilleures-voitures-monospaces-du-moment
monospace		5	http://t1.gstatic.com/images?q=tbn:ANd9GcRRoe-HtHSTNt6mMnaZ78DTXQY7eQwIQN6Q_j26kSJBk0UTGL7EBhEQx6Fn	https://www.caradisiac.com/Les-meilleurs-monospaces-40207.htm
monospace		6	http://t2.gstatic.com/images?q=tbn:ANd9GcQiX51OeTJrxNzRgwJJlhzPXAJNvexTrBrTrrJ8OE0bQMOk1S0mquevZOhk	https://voiture.kidioui.fr/lexique-automobile/monospace.html
monospace		7	http://t3.gstatic.com/images?q=tbn:ANd9GcRAa1YHiPlW4oGPUinCOZOqGXaz5kmxIoBLM7D88AcPzrdOmB6JynFBg8E	https://www.vehicule-ideal.com/vehicules/monospaces/5-7-places
monospace		8	http://t0.gstatic.com/images?q=tbn:ANd9GcStkTyVOkGFl0qiUKxGcj-xAgajBpLFhGzExsRgI1DSq1VcJRAd61kZoY1a	https://blog.vivacar.fr/acheter-voiture-familiale-7-places-suv-monospace/
monospace		9	http://t1.gstatic.com/images?q=tbn:ANd9GcRAWrVyl9ventS32IUSG-GvNKffKo02L9jPfG93Sb0hp_rhrn0eBqfy-CA	https://www.caradisiac.com/Monospaces-compacts-7-places-quel-est-le-meilleur-67026.htm
monospace		10	http://t2.gstatic.com/images?q=tbn:ANd9GcTOHdF-KwsWsruIpdZhIHpnwxFswmcSlgzKPj15moW5hdz0t9kJ4sTYAEM9	https://www.okey.fr/ford-galaxy-1-monospace-familial-7-places/
monospace		11	http://t3.gstatic.com/images?q=tbn:ANd9GcT5tSaj_1q_UG_7eiwxMQcLTtXaIu_nRN_--p-UkT68W1ScOR6gvv-vCRM	https://www.caradisiac.com/Les-meilleurs-monospaces-40207.htm
monospace		12	http://t0.gstatic.com/images?q=tbn:ANd9GcTnFWowLO2SKvixR36EIcdArQtgwpMNMira98YO5qze5v5WMZyECjJyLrgs	https://blog.vivacar.fr/choisir-voiture-familiale/
monospace		13	http://t1.gstatic.com/images?q=tbn:ANd9GcTvy5ZUsyJaXk7FIxaLADWorOlT9epvOoeJnetkU0XDUvP7RmtL5ZtiXbo	https://voiture.kidioui.fr/guides/achat/comparatif-des-meilleurs-monospaces-2018-quel-monospace-choisir.html
monospace		14	http://t2.gstatic.com/images?q=tbn:ANd9GcQNzDDLbbDI4qtWDLwB0Ln0Qw0vovELXptcO5Ov6Kpd_dUlPDxtaK6HhpQ	https://www.quechoisir.org/comparatif-voiture-monospace-n7/
monospace		15	http://t3.gstatic.com/images?q=tbn:ANd9GcTqBy71OfrKuqKtEZn-324TqbkbEIWR3SvRe9zuSbMrqkz-iINtiKg5ICM	https://www.elite-auto.fr/automobile-monospace.asp
monospace		16	http://t0.gstatic.com/images?q=tbn:ANd9GcR3v09j8KLBC8rqz9Z5PAB6tFIVgSo9YRRGZAStXrlzTo7h-rrzMF6vsOQr	https://blog.vivacar.fr/acheter-voiture-familiale-7-places-suv-monospace/
monospace		17	http://t1.gstatic.com/images?q=tbn:ANd9GcTTb5O1WYD6IZvt3hsp5MCAomrDFCsb7RwjDtW5NV6DTcOF4RzxnTeCUAE	https://www.latribune.fr/entreprises-finance/industrie/automobile/20140721trib000840858/le-monospace-un-vehicule-qui-a-revolutionne-la-place-de-la-famille.html
monospace		18	http://t2.gstatic.com/images?q=tbn:ANd9GcR2UyK6inKGjrba-Hmt1clxdVa5UTgOrYyI-_d51oO34ZRsgBjgLiMgvQA	https://www.caradisiac.com/Citroen-Grand-C4-Picasso-le-meilleur-monospace-de-l-annee-selon-What-Car-91555.htm
monospace		19	http://t3.gstatic.com/images?q=tbn:ANd9GcR7IxSu7bMI0jxnG4PmESvxA2r2IwVLRpjpil4FKe5KVCunXD6zICUU3OHX	https://www.largus.fr/actualite-automobile/occasion-la-fiat-multipla-un-monospace-rare-et-atypique-4565379.html
monospace		20	http://t0.gstatic.com/images?q=tbn:ANd9GcRiLuZ7N82n2l7PTNoXR24lKrXIidGjV5RtdIoQ3GNrPP8KLOxamuoPJIfx	https://www.okey.fr/lancia-phedra-monospace-7-places-fiable/
monospace		21	http://t1.gstatic.com/images?q=tbn:ANd9GcTF47qxSVDnsF3t3vpUJrVaEjLvDOYz4pQHOl3Ros3sF4VwGZY14KKQekI	https://www.aald72.fr/4-raisons-louer-voiture-monospace.html
